date,direction,trend_code,daily_close
2025-07-31,震荡,0,
2025-08-01,震荡,0,
2025-08-04,震荡,0,
2025-08-05,震荡,0,
2025-08-06,震荡,0,
2025-08-07,震荡,0,
2025-08-08,震荡,0,
2025-08-11,震荡,0,
2025-08-12,震荡,0,
2025-08-13,震荡,0,
2025-08-14,震荡,0,
2025-08-15,震荡,0,
2025-08-18,震荡,0,
2025-08-19,震荡,0,
2025-08-20,震荡,0,
2025-08-21,震荡,0,
2025-08-22,震荡,0,
2025-08-25,震荡,0,
2025-08-26,震荡,0,
2025-08-27,震荡,0,
2025-08-28,震荡,0,
2025-08-29,震荡,0,
2025-09-01,震荡,0,
2025-09-02,震荡,0,
2025-09-03,震荡,0,
2025-09-04,震荡,0,
2025-09-05,震荡,0,
2025-09-08,震荡,0,
2025-09-09,震荡,0,
2025-09-10,震荡,0,
2025-09-11,震荡,0,
2025-09-12,震荡,0,
2025-09-15,震荡,0,
2025-09-16,震荡,0,
2025-09-17,震荡,0,
2025-09-18,震荡,0,
2025-09-19,震荡,0,
2025-09-22,震荡,0,
2025-09-23,震荡,0,
2025-09-24,震荡,0,
2025-09-25,震荡,0,
2025-09-26,震荡,0,
2025-09-29,震荡,0,
2025-09-30,震荡,0,
2025-10-09,震荡,0,
2025-10-10,震荡,0,
2025-10-13,震荡,0,
2025-10-14,震荡,0,
2025-10-15,震荡,0,
2025-10-16,震荡,0,
2025-10-17,震荡,0,
2025-10-20,震荡,0,
2025-10-21,震荡,0,
2025-10-22,震荡,0,
2025-10-23,震荡,0,
2025-10-24,震荡,0,
2025-10-27,震荡,0,
2025-10-28,震荡,0,
2025-10-29,震荡,0,
2025-10-30,震荡,0,
2025-10-31,震荡,0,
2025-11-03,震荡,0,
2025-11-04,空头,-1,
2025-11-05,空头,-1,
2025-11-06,空头,-1,
2025-11-07,空头,-1,
2025-11-10,空头,-1,
2025-11-11,空头,-1,
2025-11-12,空头,-1,
2025-11-13,空头,-1,
2025-11-14,空头,-1,
2025-11-17,多头,1,
2025-11-18,多头,1,
2025-11-19,多头,1,
2025-11-20,多头,1,
2025-11-21,空头,-1,
2025-11-24,空头,-1,
2025-11-25,空头,-1,
2025-11-26,多头,1,
2025-11-27,多头,1,
2025-11-28,多头,1,
2025-12-01,多头,1,
2025-12-02,多头,1,
2025-12-03,多头,1,
2025-12-04,多头,1,
2025-12-05,多头,1,
2025-12-08,多头,1,
2025-12-09,多头,1,
2025-12-10,空头,-1,
2025-12-11,空头,-1,
2025-12-12,空头,-1,
2025-12-15,空头,-1,
2025-12-16,空头,-1,
2025-12-17,空头,-1,
2025-12-18,空头,-1,
2025-12-19,多头,1,
2025-12-22,多头,1,
2025-12-23,多头,1,
2025-12-24,多头,1,
2025-12-25,空头,-1,
2025-12-26,多头,1,
2025-12-29,空头,-1,
2025-12-30,多头,1,
2025-12-31,多头,1,
2026-01-05,多头,1,
2026-01-06,空头,-1,
2026-01-07,空头,-1,
2026-01-08,多头,1,
2026-01-09,多头,1,
2026-01-12,空头,-1,
2026-01-13,多头,1,
2026-01-14,多头,1,
2026-01-15,多头,1,
2026-01-16,多头,1,
2026-01-19,空头,-1,
2026-01-20,空头,-1,
2026-01-21,空头,-1,
2026-01-22,空头,-1,
2026-01-23,空头,-1,
2026-01-26,空头,-1,
2026-01-27,多头,1,
2026-01-28,空头,-1,
2026-01-29,空头,-1,
2026-01-30,多头,1,
2026-02-02,多头,1,
2026-02-03,空头,-1,
2026-02-04,空头,-1,
2026-02-05,空头,-1,
2026-02-06,空头,-1,
2026-02-09,空头,-1,
2026-02-10,空头,-1,
2026-02-11,空头,-1,
2026-02-12,空头,-1,
2026-02-13,空头,-1,
2026-02-24,空头,-1,
2026-02-25,空头,-1,
2026-02-26,空头,-1,
2026-02-27,多头,1,
2026-03-02,多头,1,
2026-03-03,多头,1,
2026-03-04,多头,1,
2026-03-05,多头,1,
2026-03-06,多头,1,
2026-03-09,多头,1,
2026-03-10,多头,1,
2026-03-11,多头,1,
2026-03-12,多头,1,
2026-03-13,多头,1,
2026-03-16,多头,1,
2026-03-17,多头,1,
2026-03-18,多头,1,
2026-03-19,多头,1,
2026-03-20,多头,1,
2026-03-23,多头,1,
2026-03-24,多头,1,
2026-03-25,多头,1,
2026-03-26,多头,1,
2026-03-27,空头,-1,
2026-03-30,空头,-1,
2026-03-31,空头,-1,
2026-04-01,多头,1,
2026-04-02,空头,-1,
2026-04-03,空头,-1,
2026-04-07,空头,-1,
2026-04-08,空头,-1,
2026-04-09,多头,1,
2026-04-10,多头,1,
2026-04-13,空头,-1,
2026-04-14,空头,-1,
2026-04-15,空头,-1,
2026-04-16,多头,1,
2026-04-17,多头,1,
2026-04-20,多头,1,
2026-04-21,多头,1,
2026-04-22,多头,1,
2026-04-23,多头,1,
2026-04-24,多头,1,
2026-04-27,多头,1,
2026-04-28,多头,1,
2026-04-29,多头,1,
2026-04-30,多头,1,
2026-05-06,多头,1,
2026-05-07,多头,1,
2026-05-08,多头,1,
2026-05-11,多头,1,
