date,equity,position,trades_today
2025-07-30,100000.0,0,0
2025-07-31,99999.116,0,0
2025-08-01,99996.505,0,0
2025-08-04,97421.14399999999,1,0
2025-08-05,99994.067,0,0
2025-08-06,97403.23499999999,1,0
2025-08-07,99910.93,0,0
2025-08-08,99869.688,0,0
2025-08-11,97290.65199999999,1,0
2025-08-12,99863.868,0,0
2025-08-13,99859.98300000001,0,0
2025-08-14,99851.016,0,0
2025-08-15,97283.863,1,0
2025-08-18,99804.969,0,0
2025-08-19,99802.697,0,0
2025-08-20,97282.965,1,0
2025-08-21,99730.78799999999,0,0
2025-08-22,97189.58499999999,1,0
2025-08-25,99656.14700000001,0,0
2025-08-26,99656.14700000001,0,0
2025-08-27,97130.42500000002,-1,0
2025-08-28,99583.47300000001,0,0
2025-08-29,97040.32800000001,1,0
2025-09-01,97042.10200000001,-1,0
2025-09-02,99489.93000000002,0,0
2025-09-03,99488.71900000001,0,0
2025-09-04,99478.04400000002,0,0
2025-09-05,99437.55200000003,0,0
2025-09-08,96908.77500000002,1,0
2025-09-09,99362.77200000004,0,0
2025-09-10,96836.83400000006,-1,0
2025-09-11,99326.33200000007,0,0
2025-09-12,99349.75500000005,0,0
2025-09-15,99309.03000000004,0,0
2025-09-16,99270.17900000005,0,0
2025-09-17,96723.91000000006,1,0
2025-09-18,99220.88900000007,0,0
2025-09-19,96675.96700000006,1,0
2025-09-22,99204.81600000006,0,0
2025-09-23,96681.25300000006,-1,0
2025-09-24,99220.97600000007,0,0
2025-09-25,96687.29400000007,-1,0
2025-09-26,96724.03900000006,-1,0
2025-09-29,96729.03900000006,-1,0
2025-09-30,99206.15000000005,0,0
2025-10-09,96700.08700000006,1,0
2025-10-10,96675.08700000006,1,0
2025-10-13,99123.65600000005,0,0
2025-10-14,96673.79500000004,-1,0
2025-10-15,99112.28400000006,0,0
2025-10-16,96648.57500000006,1,0
2025-10-17,99034.60100000007,0,0
2025-10-20,96592.15300000008,-1,0
2025-10-21,96581.24100000008,-1,0
2025-10-22,96569.32000000008,1,0
2025-10-23,96589.38400000008,-1,0
2025-10-24,96577.86500000006,1,0
2025-10-27,96581.05100000006,1,0
2025-10-28,99031.14300000005,0,0
2025-10-29,96510.80400000006,1,0
2025-10-30,96517.56400000006,-1,0
2025-10-31,96515.13500000005,-1,0
2025-11-03,96540.57300000006,-1,0
2025-11-04,98995.11100000006,0,0
2025-11-05,96543.83700000007,1,0
2025-11-06,96539.35900000005,1,0
2025-11-07,98962.52500000005,0,0
2025-11-10,96484.81300000005,1,0
2025-11-11,96470.33600000007,1,0
2025-11-12,98877.70800000006,0,0
2025-11-13,98886.02800000006,0,0
2025-11-14,96390.08800000008,-1,0
2025-11-17,98867.04300000006,0,0
2025-11-18,98859.27300000004,0,0
2025-11-19,98825.52000000003,0,0
2025-11-20,96322.93000000002,1,0
2025-11-21,98745.96000000002,0,0
2025-11-24,98724.58700000001,0,0
2025-11-25,96237.28800000002,1,0
2025-11-26,98667.21200000001,0,0
2025-11-27,96171.145,-1,0
2025-11-28,96138.724,1,0
2025-12-01,96152.724,1,0
2025-12-02,98629.51600000002,0,0
2025-12-03,96072.035,-1,0
2025-12-04,98600.54999999999,0,0
2025-12-05,98595.43,0,0
2025-12-08,98595.43,0,0
2025-12-09,96120.94199999998,-1,0
2025-12-10,98574.61399999997,0,0
2025-12-11,96105.34299999998,-1,0
2025-12-12,96105.82599999997,1,0
2025-12-15,96108.82599999997,1,0
2025-12-16,96113.82599999997,1,0
2025-12-17,96066.61299999997,1,0
2025-12-18,98532.66099999998,0,0
2025-12-19,98510.23199999997,0,0
2025-12-22,96013.70399999997,1,0
2025-12-23,98475.19199999998,0,0
2025-12-24,95969.86299999998,1,0
2025-12-25,98458.13999999997,0,0
2025-12-26,95934.36599999997,1,0
2025-12-29,95939.36599999997,1,0
2025-12-30,95934.36599999997,1,0
2025-12-31,98415.04499999997,0,0
2026-01-05,98415.04499999997,0,0
2026-01-06,95902.70499999996,1,0
2026-01-07,98459.18999999996,0,0
2026-01-08,98456.04799999995,0,0
2026-01-09,95922.60799999995,1,0
2026-01-12,98422.71199999996,0,0
2026-01-13,98389.86699999995,0,0
2026-01-14,95820.56599999995,1,0
2026-01-15,98330.09899999994,0,0
2026-01-16,95779.59799999994,-1,0
2026-01-19,98301.25199999995,0,0
2026-01-20,95814.52999999994,-1,0
2026-01-21,95810.29499999994,1,0
2026-01-22,95812.29499999994,1,0
2026-01-23,98285.67999999995,0,0
2026-01-26,95744.82799999995,-1,0
2026-01-27,98247.03899999996,0,0
2026-01-28,95756.31199999998,1,0
2026-01-29,98270.46899999998,0,0
2026-01-30,95766.06399999998,-1,0
2026-02-02,95773.04299999998,1,0
2026-02-03,98224.93199999997,0,0
2026-02-04,98190.70099999997,0,0
2026-02-05,95702.20299999998,1,0
2026-02-06,98160.95999999999,0,0
2026-02-09,98160.95999999999,0,0
2026-02-10,98160.95999999999,0,0
2026-02-11,98140.45,0,0
2026-02-12,98121.749,0,0
2026-02-13,98095.832,0,0
2026-02-24,95637.352,1,0
2026-02-25,98066.042,0,0
2026-02-26,98066.042,0,0
2026-02-27,98051.93099999998,0,0
2026-03-02,98021.06399999998,0,0
2026-03-03,97981.39499999999,0,0
2026-03-04,97942.90000000001,0,0
2026-03-05,97902.97400000002,0,0
2026-03-06,95463.89900000002,1,0
2026-03-09,97868.153,0,0
2026-03-10,95368.053,-1,0
2026-03-11,95375.83,1,0
2026-03-12,97840.449,0,0
2026-03-13,95308.829,-1,0
2026-03-16,95307.55299999999,1,0
2026-03-17,97846.59399999998,0,0
2026-03-18,95310.73299999998,-1,0
2026-03-19,97814.40199999999,0,0
2026-03-20,95262.20099999999,1,0
2026-03-23,95236.923,-1,0
2026-03-24,97727.475,0,0
2026-03-25,95216.141,-1,0
2026-03-26,95230.141,-1,0
2026-03-27,95240.89600000001,1,0
2026-03-30,97697.08500000004,0,0
2026-03-31,97697.08500000004,0,0
2026-04-01,95218.34400000001,-1,0
2026-04-02,97653.01800000001,0,0
2026-04-03,97653.01800000001,0,0
2026-04-07,97653.01800000001,0,0
2026-04-08,95156.30600000001,1,0
2026-04-09,97634.20100000002,0,0
2026-04-10,97611.81200000002,0,0
2026-04-13,95125.91600000001,-1,0
2026-04-14,95111.909,1,0
2026-04-15,97577.405,0,0
2026-04-16,97577.405,0,0
2026-04-17,97577.405,0,0
2026-04-20,95045.699,1,0
2026-04-21,97570.132,0,0
2026-04-22,97579.967,0,0
2026-04-23,97571.587,0,0
2026-04-24,97563.609,0,0
2026-04-27,95018.41399999999,-1,0
2026-04-28,97538.29199999999,0,0
2026-04-29,94978.29599999999,1,0
2026-04-30,97553.48799999998,0,0
2026-05-06,94958.71399999998,1,0
2026-05-07,94935.98399999997,1,0
2026-05-08,97521.58499999995,0,0
2026-05-11,94866.35799999995,-1,0
2026-05-12,97449.09499999994,0,0
2026-05-13,97413.67099999996,0,0
2026-05-14,97404.77099999996,0,0
2026-05-15,94822.52599999997,-1,0
2026-05-18,97401.89899999998,0,0
2026-05-19,97377.49899999997,0,0
2026-05-20,94822.50799999996,-1,0
2026-05-21,94838.35299999997,-1,0
2026-05-22,94780.35299999997,-1,0
2026-05-25,94808.13699999996,-1,0
2026-05-26,97353.76599999996,0,0
2026-05-27,97353.76599999996,0,0
2026-05-28,97327.66699999996,0,0
2026-05-29,97306.94699999996,0,0
2026-06-01,97289.78299999995,0,0
2026-06-02,97289.78299999995,0,0
2026-06-03,94756.20999999996,-1,0
2026-06-04,97286.25099999996,0,0
2026-06-05,94762.28999999996,1,0
2026-06-08,97263.73799999997,0,0
2026-06-09,97263.73799999997,0,0
2026-06-10,97270.48699999998,0,0
2026-06-11,94736.72499999998,-1,0
2026-06-12,94695.36399999997,1,0
2026-06-15,97221.42899999997,0,0
2026-06-16,97221.42899999997,0,0
2026-06-17,97221.42899999997,0,0
2026-06-18,97221.42899999997,0,0
2026-06-22,97198.98399999998,0,0
2026-06-23,97191.954,0,0
2026-06-24,94679.41100000001,-1,0
2026-06-25,97163.89400000001,0,0
2026-06-26,94692.00800000002,-1,0
2026-06-29,94684.00800000002,-1,0
